"url","id","label_it","level.@type","level.@value","parent"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.2.1","2.2.1","Ingegneri e professioni assimilate","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.2.2","2.2.2","Architetti, pianificatori, paesaggisti e specialisti del recupero e della conservazione del territorio","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.3.1","2.3.1","Specialisti nelle scienze della vita","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.4.1","2.4.1","Medici","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.4"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.5.1","2.5.1","Specialisti delle scienze gestionali, commerciali e bancarie","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.5.2","2.5.2","Specialisti in scienze giuridiche","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.5.3","2.5.3","Specialisti in scienze sociali","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.5.4","2.5.4","Specialisti in discipline linguistiche, letterarie e documentali","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.5.5","2.5.5","Specialisti in discipline artistico","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.5.6","2.5.6","Specialisti in discipline religiose e teologiche","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.6.1","2.6.1","Docenti universitari (ordinari e associati)","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.6.2","2.6.2","Ricercatori e tecnici laureati nell'università","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.6.3","2.6.3","Professori di scuola secondaria, post","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.6.4","2.6.4","Professori di scuola primaria, pre primaria e professioni assimilate","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/2.6.5","2.6.5","Altri specialisti dell'educazione e della formazione","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/2.6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/3.1.1","3.1.1","Tecnici delle scienze quantitative, fisiche e chimiche","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/3.1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/3.1.2","3.1.2","Tecnici informatici, telematici e delle telecomunicazioni","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/3.1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello3/3.1.3","3.1.3","Tecnici in campo ingegneristico","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/mansione/livello2/3.1"
