"url","id","parent","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.0","4.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Esplosivi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.1","4.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Polveri","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.2","4.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Gas, vapori, fumi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.3","4.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Materiali liquidi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.4","4.4","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Materiali solidi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.5","4.5","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Plastici","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.6","4.6","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Radiazioni, scariche elettriche","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.7","4.7","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Fuoco","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.8","4.8","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Frammenti, particelle, schegge, scorte, detriti","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/4.9","4.9","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","Schizzi, spruzzi, gocce, metallo fuso","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/5.0","5.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/5","Agenti atmosferici","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/5.1","5.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/5","Superfici di lavoro e transito","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/5.2","5.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/5","Scale e passerelle","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/5.3","5.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/5","Aperture nel pavimento o nelle pareti","http://www.w3.org/2001/XMLSchema#integer","2"
